kind,size(Byte),time(s),speed(GB/s)
NVLink-DeviceToDevice,1000000,0.000019,51.398
NVLink-DeviceToDevice,2000000,0.000019,102.796
NVLink-DeviceToDevice,4000000,0.000029,139.509
NVLink-DeviceToDevice,8000000,0.000040,200.321
NVLink-DeviceToDevice,16000000,0.000074,217.014
NVLink-DeviceToDevice,32000000,0.000130,246.063
NVLink-DeviceToDevice,64000000,0.000240,267.094
NVLink-DeviceToDevice,128000000,0.000470,272.331
NVLink-DeviceToDevice,256000000,0.000922,277.778
NVLink-DeviceToDevice,512000000,0.001825,280.584
NVLink-DeviceToDevice,1024000000,0.003640,281.294
NVLink-DeviceToDevice,2048000000,0.007271,281.650
NVLink-DeviceToDevice,4096000000,0.014534,281.829
NVLink-DeviceToDevice,8192000000,0.029234,280.220
NVLink-DeviceToDevice-UnifiedMemory,1000000,0.000044,22.711
NVLink-DeviceToDevice-UnifiedMemory,2000000,0.000044,45.422
NVLink-DeviceToDevice-UnifiedMemory,4000000,0.000109,36.851
NVLink-DeviceToDevice-UnifiedMemory,8000000,0.000127,63.004
NVLink-DeviceToDevice-UnifiedMemory,16000000,0.000155,103.477
NVLink-DeviceToDevice-UnifiedMemory,32000000,0.000220,145.349
NVLink-DeviceToDevice-UnifiedMemory,64000000,0.000413,155.087
NVLink-DeviceToDevice-UnifiedMemory,128000000,0.000755,169.606
NVLink-DeviceToDevice-UnifiedMemory,256000000,0.001454,176.056
NVLink-DeviceToDevice-UnifiedMemory,512000000,0.002883,177.620
NVLink-DeviceToDevice-UnifiedMemory,1024000000,0.005722,178.955
NVLink-DeviceToDevice-UnifiedMemory,2048000000,0.011418,179.372
NVLink-DeviceToDevice-UnifiedMemory,4096000000,0.022607,181.184
NVLink-DeviceToDevice-UnifiedMemory,8192000000,0.045270,180.959
