kind,size(Byte),time(s),speed(GB/s)
PCIe-HostToDevice,100000,0.000018,5.590
PCIe-HostToDevice,200000,0.000021,9.484
PCIe-HostToDevice,300000,0.000025,11.852
PCIe-HostToDevice,400000,0.000027,14.741
PCIe-HostToDevice,500000,0.000033,15.364
PCIe-HostToDevice,600000,0.000037,16.012
PCIe-HostToDevice,700000,0.000037,18.729
PCIe-HostToDevice,800000,0.000045,17.606
PCIe-HostToDevice,900000,0.000050,18.052
PCIe-HostToDevice,1000000,0.000052,19.195
PCIe-HostToDevice,1100000,0.000058,18.805
PCIe-HostToDevice,1200000,0.000063,19.045
PCIe-HostToDevice,1300000,0.000067,19.299
PCIe-HostToDevice,1400000,0.000072,19.419
PCIe-HostToDevice,1500000,0.000075,19.964
PCIe-HostToDevice,1600000,0.000079,20.178
PCIe-HostToDevice,1700000,0.000076,22.482
PCIe-HostToDevice,1800000,0.000072,25.045
PCIe-HostToDevice,1900000,0.000076,25.116
PCIe-HostToDevice,2000000,0.000079,25.191
PCIe-HostToDevice,2100000,0.000083,25.289
PCIe-HostToDevice,2200000,0.000087,25.322
PCIe-HostToDevice,2300000,0.000091,25.380
PCIe-HostToDevice,2400000,0.000094,25.450
PCIe-HostToDevice,2500000,0.000098,25.523
PCIe-HostToDevice,2600000,0.000102,25.566
PCIe-HostToDevice,2700000,0.000105,25.615
PCIe-HostToDevice,2800000,0.000109,25.645
PCIe-HostToDevice,2900000,0.000113,25.666
PCIe-HostToDevice,3000000,0.000117,25.713
PCIe-HostToDevice,3100000,0.000120,25.771
PCIe-HostToDevice,3200000,0.000124,25.806
PCIe-HostToDevice,3300000,0.000128,25.826
PCIe-HostToDevice,3400000,0.000132,25.839
PCIe-HostToDevice,3500000,0.000135,25.894
PCIe-HostToDevice,3600000,0.000139,25.904
PCIe-HostToDevice,3700000,0.000143,25.925
PCIe-HostToDevice,3800000,0.000146,25.951
PCIe-HostToDevice,3900000,0.000150,25.981
PCIe-HostToDevice,4000000,0.000154,26.015
PCIe-HostToDevice,4100000,0.000157,26.036
PCIe-HostToDevice,4200000,0.000161,26.042
PCIe-HostToDevice,4300000,0.000165,26.057
PCIe-HostToDevice,4400000,0.000169,26.081
PCIe-HostToDevice,4500000,0.000172,26.095
PCIe-HostToDevice,4600000,0.000176,26.122
PCIe-HostToDevice,4700000,0.000180,26.120
PCIe-HostToDevice,4800000,0.000184,26.132
PCIe-HostToDevice,4900000,0.000187,26.153
PCIe-HostToDevice,5000000,0.000191,26.168
PCIe-HostToDevice,5100000,0.000195,26.179
PCIe-HostToDevice,5200000,0.000199,26.193
PCIe-HostToDevice,5300000,0.000202,26.206
PCIe-HostToDevice,5400000,0.000206,26.224
PCIe-HostToDevice,5500000,0.000210,26.216
PCIe-HostToDevice,5600000,0.000213,26.241
PCIe-HostToDevice,5700000,0.000217,26.249
PCIe-HostToDevice,5800000,0.000221,26.249
PCIe-HostToDevice,5900000,0.000225,26.253
PCIe-HostToDevice,6000000,0.000228,26.286
PCIe-HostToDevice,6100000,0.000232,26.282
PCIe-HostToDevice,6200000,0.000236,26.296
PCIe-HostToDevice,6300000,0.000239,26.310
PCIe-HostToDevice,6400000,0.000243,26.323
PCIe-HostToDevice,6500000,0.000247,26.318
PCIe-HostToDevice,6600000,0.000251,26.324
PCIe-HostToDevice,6700000,0.000254,26.340
PCIe-HostToDevice,6800000,0.000258,26.348
PCIe-HostToDevice,6900000,0.000262,26.357
PCIe-HostToDevice,7000000,0.000266,26.362
PCIe-HostToDevice,7100000,0.000269,26.367
PCIe-HostToDevice,7200000,0.000273,26.371
PCIe-HostToDevice,7300000,0.000277,26.382
PCIe-HostToDevice,7400000,0.000280,26.395
PCIe-HostToDevice,7500000,0.000284,26.397
PCIe-HostToDevice,7600000,0.000288,26.395
PCIe-HostToDevice,7700000,0.000292,26.405
PCIe-HostToDevice,7800000,0.000295,26.414
PCIe-HostToDevice,7900000,0.000299,26.409
PCIe-HostToDevice,8000000,0.000303,26.419
PCIe-DeviceToHost,100000,0.000013,7.832
PCIe-DeviceToHost,200000,0.000025,8.106
PCIe-DeviceToHost,300000,0.000025,12.081
PCIe-DeviceToHost,400000,0.000031,13.062
PCIe-DeviceToHost,500000,0.000037,13.447
PCIe-DeviceToHost,600000,0.000043,13.807
PCIe-DeviceToHost,700000,0.000049,14.363
PCIe-DeviceToHost,800000,0.000054,14.680
PCIe-DeviceToHost,900000,0.000059,15.244
PCIe-DeviceToHost,1000000,0.000064,15.602
PCIe-DeviceToHost,1100000,0.000064,17.248
PCIe-DeviceToHost,1200000,0.000075,16.032
PCIe-DeviceToHost,1300000,0.000080,16.160
PCIe-DeviceToHost,1400000,0.000085,16.441
PCIe-DeviceToHost,1500000,0.000085,17.749
PCIe-DeviceToHost,1600000,0.000096,16.728
PCIe-DeviceToHost,1700000,0.000076,22.331
PCIe-DeviceToHost,1800000,0.000075,24.080
PCIe-DeviceToHost,1900000,0.000083,22.819
PCIe-DeviceToHost,2000000,0.000080,25.000
PCIe-DeviceToHost,2100000,0.000084,25.029
PCIe-DeviceToHost,2200000,0.000088,25.018
PCIe-DeviceToHost,2300000,0.000099,23.306
PCIe-DeviceToHost,2400000,0.000095,25.176
PCIe-DeviceToHost,2500000,0.000099,25.267
PCIe-DeviceToHost,2600000,0.000110,23.723
PCIe-DeviceToHost,2700000,0.000113,23.862
PCIe-DeviceToHost,2800000,0.000110,25.384
PCIe-DeviceToHost,2900000,0.000117,24.761
PCIe-DeviceToHost,3000000,0.000125,24.008
PCIe-DeviceToHost,3100000,0.000122,25.400
PCIe-DeviceToHost,3200000,0.000126,25.355
PCIe-DeviceToHost,3300000,0.000129,25.532
PCIe-DeviceToHost,3400000,0.000137,24.889
PCIe-DeviceToHost,3500000,0.000137,25.579
PCIe-DeviceToHost,3600000,0.000141,25.568
PCIe-DeviceToHost,3700000,0.000144,25.626
PCIe-DeviceToHost,3800000,0.000148,25.604
PCIe-DeviceToHost,3900000,0.000159,24.497
PCIe-DeviceToHost,4000000,0.000156,25.688
PCIe-DeviceToHost,4100000,0.000160,25.692
PCIe-DeviceToHost,4200000,0.000164,25.645
PCIe-DeviceToHost,4300000,0.000167,25.732
PCIe-DeviceToHost,4400000,0.000171,25.715
PCIe-DeviceToHost,4500000,0.000175,25.723
PCIe-DeviceToHost,4600000,0.000178,25.771
PCIe-DeviceToHost,4700000,0.000183,25.713
PCIe-DeviceToHost,4800000,0.000186,25.755
PCIe-DeviceToHost,4900000,0.000197,24.866
PCIe-DeviceToHost,5000000,0.000201,24.936
PCIe-DeviceToHost,5100000,0.000204,24.953
PCIe-DeviceToHost,5200000,0.000206,25.284
PCIe-DeviceToHost,5300000,0.000206,25.690
PCIe-DeviceToHost,5400000,0.000209,25.850
PCIe-DeviceToHost,5500000,0.000213,25.861
PCIe-DeviceToHost,5600000,0.000216,25.876
PCIe-DeviceToHost,5700000,0.000221,25.782
PCIe-DeviceToHost,5800000,0.000224,25.889
PCIe-DeviceToHost,5900000,0.000235,25.140
PCIe-DeviceToHost,6000000,0.000238,25.158
PCIe-DeviceToHost,6100000,0.000235,25.925
PCIe-DeviceToHost,6200000,0.000239,25.913
PCIe-DeviceToHost,6300000,0.000243,25.935
PCIe-DeviceToHost,6400000,0.000247,25.954
PCIe-DeviceToHost,6500000,0.000251,25.935
PCIe-DeviceToHost,6600000,0.000261,25.260
PCIe-DeviceToHost,6700000,0.000265,25.247
PCIe-DeviceToHost,6800000,0.000262,25.949
PCIe-DeviceToHost,6900000,0.000271,25.494
PCIe-DeviceToHost,7000000,0.000276,25.389
PCIe-DeviceToHost,7100000,0.000274,25.932
PCIe-DeviceToHost,7200000,0.000277,25.994
PCIe-DeviceToHost,7300000,0.000288,25.308
PCIe-DeviceToHost,7400000,0.000292,25.320
PCIe-DeviceToHost,7500000,0.000289,25.944
PCIe-DeviceToHost,7600000,0.000299,25.382
PCIe-DeviceToHost,7700000,0.000297,25.941
PCIe-DeviceToHost,7800000,0.000300,25.978
PCIe-DeviceToHost,7900000,0.000304,25.981
PCIe-DeviceToHost,8000000,0.000308,25.982
