kind,split,size(Byte),time(s),speed(GB/s)
NVLink-DeviceToDevice-Split,1,1000000,0.000018,54.253
NVLink-DeviceToDevice-Split,1,2000000,0.000019,102.796
NVLink-DeviceToDevice-Split,1,4000000,0.000029,139.509
NVLink-DeviceToDevice-Split,1,8000000,0.000040,200.321
NVLink-DeviceToDevice-Split,1,16000000,0.000074,217.014
NVLink-DeviceToDevice-Split,1,32000000,0.000130,246.063
NVLink-DeviceToDevice-Split,1,64000000,0.000240,267.094
NVLink-DeviceToDevice-Split,1,128000000,0.000470,272.331
NVLink-DeviceToDevice-Split,1,256000000,0.000922,277.778
NVLink-DeviceToDevice-Split,1,512000000,0.001826,280.426
NVLink-DeviceToDevice-Split,1,1024000000,0.003641,281.215
NVLink-DeviceToDevice-Split,1,2048000000,0.007272,281.611
NVLink-DeviceToDevice-Split,1,4096000000,0.014536,281.789
NVLink-DeviceToDevice-Split,1,8192000000,0.029234,280.220
NVLink-DeviceToDevice-Split,2,1000000,0.000026,39.062
NVLink-DeviceToDevice-Split,2,2000000,0.000026,78.125
NVLink-DeviceToDevice-Split,2,4000000,0.000031,130.208
NVLink-DeviceToDevice-Split,2,8000000,0.000046,173.611
NVLink-DeviceToDevice-Split,2,16000000,0.000075,214.041
NVLink-DeviceToDevice-Split,2,32000000,0.000135,236.742
NVLink-DeviceToDevice-Split,2,64000000,0.000247,259.336
NVLink-DeviceToDevice-Split,2,128000000,0.000476,268.817
NVLink-DeviceToDevice-Split,2,256000000,0.000928,275.938
NVLink-DeviceToDevice-Split,2,512000000,0.001833,279.330
NVLink-DeviceToDevice-Split,2,1024000000,0.003646,280.820
NVLink-DeviceToDevice-Split,2,2048000000,0.007279,281.373
NVLink-DeviceToDevice-Split,2,4096000000,0.014541,281.690
NVLink-DeviceToDevice-Split,2,8192000000,0.029093,281.581
NVLink-DeviceToDevice-Split,4,1000000,0.000037,27.127
NVLink-DeviceToDevice-Split,4,2000000,0.000038,52.787
NVLink-DeviceToDevice-Split,4,4000000,0.000044,90.843
NVLink-DeviceToDevice-Split,4,8000000,0.000057,139.509
NVLink-DeviceToDevice-Split,4,16000000,0.000086,186.012
NVLink-DeviceToDevice-Split,4,32000000,0.000145,220.070
NVLink-DeviceToDevice-Split,4,64000000,0.000260,246.063
NVLink-DeviceToDevice-Split,4,128000000,0.000490,260.960
NVLink-DeviceToDevice-Split,4,256000000,0.000942,271.739
NVLink-DeviceToDevice-Split,4,512000000,0.001847,277.162
NVLink-DeviceToDevice-Split,4,1024000000,0.003662,279.642
NVLink-DeviceToDevice-Split,4,2048000000,0.007293,280.820
NVLink-DeviceToDevice-Split,4,4096000000,0.014564,281.235
NVLink-DeviceToDevice-Split,4,8192000000,0.029100,281.512
NVLink-DeviceToDevice-Split,8,1000000,0.000054,18.426
NVLink-DeviceToDevice-Split,8,2000000,0.000058,34.265
NVLink-DeviceToDevice-Split,8,4000000,0.000065,62.004
NVLink-DeviceToDevice-Split,8,8000000,0.000083,96.451
NVLink-DeviceToDevice-Split,8,16000000,0.000109,147.406
NVLink-DeviceToDevice-Split,8,32000000,0.000168,190.549
NVLink-DeviceToDevice-Split,8,64000000,0.000285,224.820
NVLink-DeviceToDevice-Split,8,128000000,0.000512,250.000
NVLink-DeviceToDevice-Split,8,256000000,0.000971,263.713
NVLink-DeviceToDevice-Split,8,512000000,0.001877,272.777
