kind,split,size(Byte),time(s),speed(GB/s)
PCIe-HostToDevice-Split,1,100000,0.000011,8.878
PCIe-HostToDevice-Split,1,200000,0.000012,16.276
PCIe-HostToDevice-Split,1,300000,0.000019,15.419
PCIe-HostToDevice-Split,1,400000,0.000020,19.531
PCIe-HostToDevice-Split,1,500000,0.000028,18.084
PCIe-HostToDevice-Split,1,600000,0.000028,21.701
PCIe-HostToDevice-Split,1,700000,0.000032,22.051
PCIe-HostToDevice-Split,1,800000,0.000038,21.115
PCIe-HostToDevice-Split,1,900000,0.000045,19.975
PCIe-HostToDevice-Split,1,1000000,0.000045,22.195
PCIe-HostToDevice-Split,1,1100000,0.000052,21.063
PCIe-HostToDevice-Split,1,1200000,0.000053,22.536
PCIe-HostToDevice-Split,1,1300000,0.000061,21.159
PCIe-HostToDevice-Split,1,1400000,0.000061,22.786
PCIe-HostToDevice-Split,1,1500000,0.000065,23.251
PCIe-HostToDevice-Split,1,1600000,0.000070,22.978
PCIe-HostToDevice-Split,1,1700000,0.000072,23.717
PCIe-HostToDevice-Split,1,1800000,0.000078,23.129
PCIe-HostToDevice-Split,1,1900000,0.000080,23.788
PCIe-HostToDevice-Split,1,2000000,0.000086,23.251
PCIe-HostToDevice-Split,1,2100000,0.000087,24.127
PCIe-HostToDevice-Split,1,2200000,0.000094,23.353
PCIe-HostToDevice-Split,1,2300000,0.000095,24.152
PCIe-HostToDevice-Split,1,2400000,0.000102,23.438
PCIe-HostToDevice-Split,1,2500000,0.000103,24.172
PCIe-HostToDevice-Split,1,2600000,0.000111,23.510
PCIe-HostToDevice-Split,1,2700000,0.000112,24.190
PCIe-HostToDevice-Split,1,2800000,0.000119,23.572
PCIe-HostToDevice-Split,1,2900000,0.000119,24.414
PCIe-HostToDevice-Split,1,3000000,0.000127,23.627
PCIe-HostToDevice-Split,1,3100000,0.000127,24.414
PCIe-HostToDevice-Split,1,3200000,0.000129,24.802
PCIe-HostToDevice-Split,1,3300000,0.000135,24.414
PCIe-HostToDevice-Split,1,3400000,0.000137,24.778
PCIe-HostToDevice-Split,1,3500000,0.000143,24.414
PCIe-HostToDevice-Split,1,3600000,0.000144,24.934
PCIe-HostToDevice-Split,1,3700000,0.000152,24.414
PCIe-HostToDevice-Split,1,3800000,0.000152,25.074
PCIe-HostToDevice-Split,1,3900000,0.000160,24.414
PCIe-HostToDevice-Split,1,4000000,0.000161,24.881
PCIe-HostToDevice-Split,1,4100000,0.000168,24.414
PCIe-HostToDevice-Split,1,4200000,0.000169,24.858
PCIe-HostToDevice-Split,1,4300000,0.000176,24.414
PCIe-HostToDevice-Split,1,4400000,0.000176,24.982
PCIe-HostToDevice-Split,1,4500000,0.000178,25.256
PCIe-HostToDevice-Split,1,4600000,0.000184,24.957
PCIe-HostToDevice-Split,1,4700000,0.000186,25.219
PCIe-HostToDevice-Split,1,4800000,0.000193,24.934
PCIe-HostToDevice-Split,1,4900000,0.000194,25.318
PCIe-HostToDevice-Split,1,5000000,0.000201,24.912
PCIe-HostToDevice-Split,1,5100000,0.000202,25.282
PCIe-HostToDevice-Split,1,5200000,0.000209,24.893
PCIe-HostToDevice-Split,1,5300000,0.000210,25.248
PCIe-HostToDevice-Split,1,5400000,0.000217,24.875
PCIe-HostToDevice-Split,1,5500000,0.000217,25.335
PCIe-HostToDevice-Split,1,5600000,0.000225,24.858
PCIe-HostToDevice-Split,1,5700000,0.000225,25.302
PCIe-HostToDevice-Split,1,5800000,0.000233,24.842
PCIe-HostToDevice-Split,1,5900000,0.000233,25.271
PCIe-HostToDevice-Split,1,6000000,0.000236,25.476
PCIe-HostToDevice-Split,1,6100000,0.000242,25.242
PCIe-HostToDevice-Split,1,6200000,0.000243,25.547
PCIe-HostToDevice-Split,1,6300000,0.000250,25.215
PCIe-HostToDevice-Split,1,6400000,0.000250,25.615
PCIe-HostToDevice-Split,1,6500000,0.000258,25.189
PCIe-HostToDevice-Split,1,6600000,0.000258,25.577
PCIe-HostToDevice-Split,1,6700000,0.000266,25.165
PCIe-HostToDevice-Split,1,6800000,0.000266,25.541
PCIe-HostToDevice-Split,1,6900000,0.000274,25.143
PCIe-HostToDevice-Split,1,7000000,0.000274,25.507
PCIe-HostToDevice-Split,1,7100000,0.000279,25.491
PCIe-HostToDevice-Split,1,7200000,0.000283,25.476
PCIe-HostToDevice-Split,1,7300000,0.000286,25.552
PCIe-HostToDevice-Split,1,7400000,0.000291,25.446
PCIe-HostToDevice-Split,1,7500000,0.000292,25.699
PCIe-HostToDevice-Split,1,7600000,0.000299,25.417
PCIe-HostToDevice-Split,1,7700000,0.000300,25.664
PCIe-HostToDevice-Split,1,7800000,0.000308,25.306
PCIe-HostToDevice-Split,1,7900000,0.000307,25.716
PCIe-HostToDevice-Split,1,8000000,0.000315,25.365
PCIe-DeviceToHost-Split,1,100000,0.000012,8.138
PCIe-DeviceToHost-Split,1,200000,0.000012,16.276
PCIe-DeviceToHost-Split,1,300000,0.000019,15.419
PCIe-DeviceToHost-Split,1,400000,0.000019,20.559
PCIe-DeviceToHost-Split,1,500000,0.000028,18.084
PCIe-DeviceToHost-Split,1,600000,0.000028,21.701
PCIe-DeviceToHost-Split,1,700000,0.000036,19.531
PCIe-DeviceToHost-Split,1,800000,0.000037,21.701
PCIe-DeviceToHost-Split,1,900000,0.000045,19.975
PCIe-DeviceToHost-Split,1,1000000,0.000045,22.195
PCIe-DeviceToHost-Split,1,1100000,0.000046,23.872
PCIe-DeviceToHost-Split,1,1200000,0.000053,22.536
PCIe-DeviceToHost-Split,1,1300000,0.000053,24.414
PCIe-DeviceToHost-Split,1,1400000,0.000061,22.786
PCIe-DeviceToHost-Split,1,1500000,0.000061,24.414
PCIe-DeviceToHost-Split,1,1600000,0.000070,22.978
PCIe-DeviceToHost-Split,1,1700000,0.000070,24.414
PCIe-DeviceToHost-Split,1,1800000,0.000078,23.129
PCIe-DeviceToHost-Split,1,1900000,0.000078,24.414
PCIe-DeviceToHost-Split,1,2000000,0.000086,23.251
PCIe-DeviceToHost-Split,1,2100000,0.000086,24.414
PCIe-DeviceToHost-Split,1,2200000,0.000089,24.695
PCIe-DeviceToHost-Split,1,2300000,0.000094,24.414
PCIe-DeviceToHost-Split,1,2400000,0.000095,25.202
PCIe-DeviceToHost-Split,1,2500000,0.000102,24.414
PCIe-DeviceToHost-Split,1,2600000,0.000103,25.139
PCIe-DeviceToHost-Split,1,2700000,0.000111,24.414
PCIe-DeviceToHost-Split,1,2800000,0.000111,25.318
PCIe-DeviceToHost-Split,1,2900000,0.000119,24.414
PCIe-DeviceToHost-Split,1,3000000,0.000119,25.256
PCIe-DeviceToHost-Split,1,3100000,0.000127,24.414
PCIe-DeviceToHost-Split,1,3200000,0.000127,25.202
PCIe-DeviceToHost-Split,1,3300000,0.000135,24.414
PCIe-DeviceToHost-Split,1,3400000,0.000135,25.154
PCIe-DeviceToHost-Split,1,3500000,0.000143,24.414
PCIe-DeviceToHost-Split,1,3600000,0.000143,25.112
